chapter-counter,arabic-chapter-weight
1,10147
2,1921373
3,3018236
4,4181872
5,5041545
6,6003644
7,7100484
8,7488909
9,8261202
10,8814885
11,9375055
12,9886074
13,10136194
14,10407621
15,10595334
16,11180212
17,11674275
18,12190375
19,12482580
20,12885260
21,13251200
22,13633735
23,13990904
24,14426565
25,14729177
26,15133401
27,15483931
28,15900632
29,16188205
30,16466815
31,16630166
32,16745336
33,17137392
34,17401097
35,17654808
36,17882317
37,18150373
38,18387289
39,18766177
40,19137466
41,19386318
42,19641066
43,19908059
44,20007534
45,20167289
46,20363633
47,20550971
48,20740742
49,20844487
50,20955366
51,21075881
52,21170920
53,21286648
54,21412180
55,21542667
56,21676387
57,21872490
58,22007805
59,22142690
60,22246695
61,22311241
62,22374813
63,22430893
64,22511467
65,22604882
66,22693673
67,22798310
68,22893118
69,22991031
70,23064781
71,23140863
72,23209021
73,23279770
74,23372304
75,23426895
76,23505536
77,23578139
78,23632415
79,23700525
80,23754662
81,23796953
82,23824416
83,23882329
84,23916080
85,23949704
86,23967482
87,23994559
88,24032784
89,24082765
90,24107818
91,24127986
92,24158393
93,24172499
94,24185701
95,24196718
96,24220042
97,24229133
98,24261566
99,24279751
100,24293908
101,24307344
102,24318507
103,24324034
104,24333932
105,24340584
106,24347433
107,24357427
108,24360977
109,24365595
110,24372505
111,24379117
112,24380905
113,24390368
114,24396450
