chapter-counter,arabic-chpater-weight
1,10147
2,1911226
3,1096863
4,1163636
5,859673
6,962099
7,1096840
8,388425
9,772293
10,553683
11,560170
12,511019
13,250120
14,271427
15,187713
16,584878
17,494063
18,516100
19,292205
20,402680
21,365940
22,382535
23,357169
24,435661
25,302612
26,404224
27,350530
28,416701
29,287573
30,278610
31,163351
32,115170
33,392056
34,263705
35,253711
36,227509
37,268056
38,236916
39,378888
40,371289
41,248852
42,254748
43,266993
44,99475
45,159755
46,196344
47,187338
48,189771
49,103745
50,110879
51,120515
52,95039
53,115728
54,125532
55,130487
56,133720
57,196103
58,135315
59,134885
60,104005
61,64546
62,63572
63,56080
64,80574
65,93415
66,88791
67,104637
68,94808
69,97913
70,73750
71,76082
72,68158
73,70749
74,92534
75,54591
76,78641
77,72603
78,54276
79,68110
80,54137
81,42291
82,27463
83,57913
84,33751
85,33624
86,17778
87,27077
88,38225
89,49981
90,25053
91,20168
92,30407
93,14106
94,13202
95,11017
96,23324
97,9091
98,32433
99,18185
100,14157
101,13436
102,11163
103,5527
104,9898
105,6652
106,6849
107,9994
108,3550
109,4618
110,6910
111,6612
112,1788
113,9463
114,6082
